,average_stars,review_count,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,cool,fans,funny,review_length,review_stars,review_use,friend_count,friend_label,rev_count_label,buss_star,buss_review,alpha_length,length_lemmatize,NN,NNP,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,Faker
10,3.3,62,1,0,1,0,0,1,1,0,0,0,2,0,152,1,7,0,0,3,4,142,27,17,4,0,3,0,0,0,0,3,0,0,0,1,1,0,1,5,0,0,0,0,1
11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,353,5,3,0,0,1,4,820,65,28,13,0,1,0,1,2,0,6,0,0,1,2,6,0,2,2,1,0,0,0,1
12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,863,5,0,0,0,1,5,227,153,76,30,0,6,0,0,11,9,13,0,0,0,8,17,1,2,3,3,1,0,1,1
13,4,6,0,0,0,0,0,0,0,0,0,0,0,0,251,5,0,0,0,1,4.5,132,48,22,9,0,2,0,1,3,1,2,0,0,0,4,3,0,1,2,0,0,0,0,1
14,3.71,7,0,0,0,0,0,0,0,0,0,0,0,0,389,3,0,0,0,1,2,11,69,33,17,0,3,0,0,1,2,6,0,0,0,1,7,0,0,0,0,0,0,0,1
15,4.17,6,0,0,0,0,0,0,0,0,0,0,0,0,1820,4,1,0,0,1,4.5,73,350,151,67,0,13,0,0,20,10,38,0,0,1,19,31,8,4,8,3,0,1,0,1
16,2.86,7,0,0,0,0,0,0,0,0,0,0,0,0,1690,1,1,0,0,1,3.5,83,326,165,66,0,19,0,0,6,10,28,1,0,2,12,25,5,7,13,2,2,0,3,1
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,768,1,0,0,0,0,4.5,179,147,60,25,0,5,0,0,11,2,15,3,0,0,8,0,1,9,10,6,0,0,4,1
18,5,1,0,0,0,0,0,0,0,0,0,0,0,0,861,5,0,0,0,0,3,14,160,76,23,0,12,0,0,11,2,18,2,1,0,7,19,3,4,4,0,0,0,0,1
19,4.13,21,0,0,0,0,0,0,0,0,0,0,0,0,261,4,0,0,0,2,2.5,18,43,27,9,0,3,0,1,2,2,2,0,0,0,2,2,1,1,3,1,0,0,0,1
20,2.39,19,0,0,0,0,0,0,0,0,0,0,0,0,186,1,2,0,0,1,5,3,34,18,8,0,4,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,1
21,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1528,1,2,0,0,1,4,242,277,134,51,0,9,0,0,19,5,26,0,1,1,9,31,5,9,2,1,0,0,2,1
22,2.65,14,0,0,0,0,0,0,1,0,0,2,0,3,415,1,1,0,0,1,3.5,213,67,34,14,0,2,0,1,3,2,11,0,0,0,5,1,4,0,2,0,0,1,0,1
23,5,1,0,0,0,0,0,0,0,0,0,0,0,0,223,5,0,118,3,0,1,10,47,22,8,0,2,0,0,2,1,3,0,0,0,3,3,2,0,3,1,0,0,0,1
24,4.27,34,8,0,8,2,0,0,4,10,5,15,9,9,468,5,1,330,3,2,4,158,80,42,20,0,4,1,1,4,3,5,1,0,0,4,11,1,1,1,0,0,2,0,1
25,2,6,0,0,0,0,0,0,0,0,0,0,0,0,153,3,0,0,0,1,4.5,829,29,17,8,0,0,0,1,1,2,1,0,0,0,3,0,1,1,0,3,0,0,0,1
26,3.19,16,0,0,0,0,0,0,0,0,0,0,0,0,319,5,0,0,0,1,4.5,116,50,27,15,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,2,1,0,0,1
27,3.81,24,0,0,0,0,0,0,0,0,1,0,0,2,267,5,0,0,0,2,4.5,262,51,29,11,0,3,0,0,1,1,8,0,0,0,2,5,1,0,2,0,0,0,0,1
28,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1537,1,5,0,0,1,3,44,281,135,69,0,14,0,1,13,5,12,1,0,0,13,22,5,4,9,2,0,1,1,1
29,3,2,0,0,0,0,0,0,0,0,0,0,0,0,468,1,3,0,0,1,4,9,82,40,17,0,3,0,0,3,4,10,0,0,0,3,0,2,4,3,3,1,0,1,1
30,5,3,0,0,0,0,0,0,0,0,0,0,0,0,562,5,0,0,0,1,4,142,100,46,14,0,6,0,0,4,2,12,0,0,1,4,7,1,2,5,3,0,0,0,1
31,5,1,0,0,0,0,0,0,0,0,0,0,0,0,727,5,0,0,0,0,4,87,121,61,25,0,7,0,0,3,2,11,0,0,2,5,8,0,3,1,1,0,0,0,1
32,5,2,0,0,0,0,0,0,0,0,0,0,0,0,238,5,0,0,0,1,3.5,55,37,20,9,0,0,0,0,0,2,6,0,0,0,4,1,0,1,2,0,0,0,0,1
33,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1636,1,0,0,0,1,2,15,306,126,52,0,6,0,0,20,8,21,0,0,5,14,27,8,12,2,4,2,4,0,1
34,5,1,0,0,0,0,0,0,0,0,0,0,0,0,248,5,0,0,0,0,3.5,397,45,22,7,0,4,0,0,3,2,2,0,0,0,4,4,0,1,2,0,0,1,0,1
35,2.95,20,0,0,0,0,0,0,0,0,1,0,2,0,418,3,7,0,0,1,4.5,1267,83,31,16,0,2,0,0,2,2,13,0,0,0,3,11,1,1,1,0,0,0,1,1
36,4.3,27,2,0,2,2,0,0,1,3,2,4,3,6,577,5,3,82,2,2,2.5,27,116,55,29,0,1,0,1,7,2,7,0,0,0,4,8,2,2,4,1,0,1,0,1
37,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,836,1,1,0,0,1,4,100,146,71,38,0,5,0,0,2,4,10,0,0,0,8,10,3,1,1,2,0,0,1,1
38,4.2,5,0,0,0,0,0,0,0,0,0,0,0,0,389,5,0,0,0,1,4.5,84,64,36,14,0,1,0,0,5,3,5,0,0,0,5,3,1,1,1,4,0,0,0,1
39,4.71,7,0,0,0,0,0,0,1,0,1,0,77,0,414,5,0,0,0,1,5,203,77,37,20,0,2,0,0,2,2,5,0,0,1,7,4,0,0,3,3,1,0,0,1
40,5,1,0,0,0,0,0,0,0,0,1,0,0,0,660,5,0,208,3,0,2.5,91,124,51,20,0,6,1,0,7,6,8,0,0,0,6,6,1,3,3,5,1,1,0,1
41,4.93,14,1,0,1,3,0,1,0,0,2,1,13,0,324,4,1,428,3,1,5,3,65,30,13,0,2,0,0,2,3,8,0,0,2,6,5,1,3,0,0,0,0,0,1
42,2,1,0,0,0,0,0,0,0,0,0,0,0,0,805,2,0,0,0,0,4,967,140,70,28,0,6,0,0,2,5,19,0,0,0,9,5,1,3,8,8,0,0,0,1
43,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,1720,2,0,0,0,1,5,7,322,156,64,0,11,0,0,26,11,25,0,0,2,7,43,10,6,3,2,5,2,0,1
44,2.63,7,0,0,0,0,0,0,0,0,1,0,1,0,563,5,0,0,0,1,4,251,102,48,22,0,7,0,0,7,6,5,0,1,0,7,7,2,1,0,2,0,0,1,1
45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,745,1,0,0,0,1,4.5,79,133,69,31,0,2,0,2,3,6,10,0,0,0,7,9,1,5,1,1,1,0,0,1
46,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,459,1,0,0,0,1,5,6,90,39,19,0,3,0,0,5,2,6,1,0,3,5,10,3,3,2,1,0,1,0,1
47,3.14,11,0,0,0,0,0,0,0,0,0,0,1,2,175,5,0,0,0,1,4.5,88,28,15,8,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,1
48,5,1,0,0,0,0,0,0,0,0,0,0,0,0,194,5,0,0,0,0,2.5,166,41,19,5,0,1,0,0,3,1,0,0,0,1,4,2,1,3,1,1,0,1,0,1
49,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1595,1,0,0,0,1,4,177,322,128,47,2,8,0,0,25,10,25,0,0,3,19,35,3,4,15,8,3,2,1,1
50,4,22,3,0,3,1,0,0,0,2,6,0,0,1,636,5,0,183,3,2,4,203,119,61,29,0,3,0,1,4,0,13,1,0,0,2,11,3,0,2,1,0,0,1,1
51,5,3,0,0,0,0,0,0,0,0,0,0,0,0,119,5,0,0,0,1,4.5,80,23,13,6,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,1
52,4.11,47,0,0,0,0,0,0,0,0,0,1,0,0,329,3,0,0,0,2,4,1048,60,31,10,0,3,0,0,6,1,7,1,0,0,2,7,1,0,2,2,0,0,0,1
53,3.86,7,0,0,0,0,0,0,1,0,0,0,0,0,272,5,0,0,0,1,3.5,59,52,23,11,0,2,0,0,1,0,2,0,0,0,2,3,0,1,2,0,0,0,1,1
54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1157,1,4,0,0,0,4,31,225,102,44,0,8,0,1,12,8,22,0,0,0,12,24,2,7,8,3,1,4,4,1
55,5,1,0,0,0,0,0,0,0,0,0,0,0,0,630,5,1,0,0,0,3.5,90,122,56,22,0,2,0,0,7,3,14,0,0,1,10,10,2,1,4,2,0,1,2,1
56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,191,1,0,0,0,0,3.5,42,36,15,7,0,1,1,0,2,2,1,0,0,0,3,3,1,1,0,0,0,0,0,1
57,3,2,0,0,0,0,0,0,0,0,0,0,0,0,586,5,0,30,1,1,3,5,106,50,19,0,5,0,0,9,3,11,0,0,0,5,11,5,2,2,0,0,1,0,1
58,4.31,13,0,0,0,0,0,0,0,0,0,0,0,0,136,5,1,0,0,1,4.5,264,25,14,2,0,0,0,0,2,0,7,0,0,0,4,0,0,0,1,1,0,0,0,1
59,1.57,5,0,0,0,0,0,0,1,0,0,0,0,0,213,1,0,0,0,1,4,82,34,17,5,0,4,0,0,1,0,2,0,0,0,1,2,0,0,0,2,0,0,0,1
60,5,1,0,0,0,0,0,0,0,0,0,0,0,1,521,5,0,0,0,0,4.5,57,93,47,11,0,5,0,0,5,4,8,1,0,1,6,9,0,1,3,1,1,1,0,1
61,3.65,19,2,0,2,0,0,1,0,0,0,1,4,0,561,3,2,228,3,1,3,20,98,52,19,0,6,0,0,3,3,9,0,0,0,6,7,3,1,3,0,1,0,0,1
62,3.91,11,0,0,0,0,0,0,0,0,0,0,0,0,1119,5,1,0,0,1,4.5,113,203,100,41,0,6,0,0,13,5,12,1,0,1,9,19,2,7,4,3,0,1,0,1
63,3,2,0,0,0,0,0,0,0,0,0,0,0,0,166,5,1,0,0,1,4.5,6,27,15,8,0,0,0,0,2,0,3,0,0,0,0,3,0,1,0,1,0,0,0,1
64,4.33,3,0,0,0,0,0,0,0,0,0,0,0,0,373,4,0,0,0,1,5,4,70,39,17,0,1,0,0,3,1,4,1,0,1,3,3,2,2,1,0,0,0,0,1
65,3.73,10,0,0,0,0,0,0,0,0,1,0,0,1,430,5,0,19,1,1,3.5,1424,88,36,17,0,5,0,0,9,3,4,0,0,0,2,2,2,3,5,4,0,0,1,1
66,3,2,0,0,0,0,0,0,0,0,0,2,0,2,94,5,0,0,0,1,3.5,143,15,9,3,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,1
67,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1136,1,1,0,0,1,4,145,237,98,39,0,12,0,0,28,7,15,0,0,1,20,15,2,1,10,5,0,3,1,1
68,5,1,0,0,0,0,0,0,0,0,0,0,0,0,156,5,0,0,0,0,4.5,74,30,16,6,0,2,0,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,1
69,2.33,6,0,0,0,0,0,0,0,0,0,0,0,0,374,1,0,0,0,1,3.5,458,75,34,13,0,1,0,0,3,0,8,0,0,0,4,9,0,0,1,1,0,0,2,1
70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,381,1,1,0,0,0,4.5,231,67,41,18,0,4,0,0,1,0,5,0,0,0,2,6,1,1,1,1,0,0,2,1
71,4.6,4,0,0,0,0,0,0,0,0,0,0,0,0,491,5,0,0,0,1,3.5,2687,87,43,12,0,4,1,0,4,5,8,0,0,0,5,10,2,0,2,1,1,0,0,1
72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,369,1,0,0,0,0,2.5,765,60,31,14,0,5,0,0,3,2,6,0,0,0,3,0,0,0,4,2,0,0,0,1
73,5,1,0,0,0,0,0,0,0,0,0,0,0,0,356,5,0,0,0,0,1.5,27,66,31,12,0,6,0,0,2,4,6,0,0,0,5,3,1,1,3,2,0,0,0,1
74,5,1,0,0,0,0,0,0,0,0,1,0,0,0,162,5,0,0,0,0,5,7,30,15,7,0,0,0,0,1,2,2,0,0,0,1,4,1,0,0,1,0,0,0,1
75,5,1,0,0,0,0,0,0,0,0,0,0,0,0,484,5,3,0,0,0,3.5,5950,89,40,20,0,1,0,0,6,7,4,0,0,0,5,10,1,1,1,0,1,0,0,1
76,5,2,0,0,0,0,0,0,0,0,0,0,0,0,217,5,0,0,0,1,4,254,34,20,5,0,0,0,0,0,1,8,0,0,0,2,2,0,0,0,0,0,1,0,1
77,5,2,0,0,0,0,0,0,0,0,0,0,0,0,254,5,0,0,0,1,4,24,44,22,11,0,1,0,0,2,1,4,0,0,0,2,2,2,1,1,1,0,0,0,1
78,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1351,5,0,0,0,0,4.5,2360,234,124,59,0,6,0,0,8,7,20,0,1,0,6,17,15,5,3,6,1,3,0,1
79,5,3,0,0,0,0,0,0,0,0,0,0,0,0,281,5,0,0,0,1,4,199,51,26,8,0,3,0,0,3,1,8,0,0,1,3,1,0,2,3,1,0,0,0,1
80,3.7,10,0,0,0,0,0,0,0,0,0,0,0,0,815,3,0,77,2,1,4,882,153,71,30,0,10,0,0,7,3,4,0,0,1,8,9,3,3,1,3,1,0,0,0
81,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1637,3,3,0,0,0,4,1738,307,143,61,0,11,0,1,17,7,28,1,0,6,18,28,5,7,5,6,4,3,2,0
82,4.67,6,0,0,0,0,0,0,0,0,0,0,0,0,412,5,0,0,0,1,4.5,150,73,37,11,0,5,0,0,3,1,12,0,0,1,7,0,1,3,4,2,0,0,0,0
83,4.67,3,0,0,0,0,0,0,0,0,0,0,0,0,171,4,0,0,0,1,4,104,30,19,10,0,1,0,0,0,0,2,0,0,0,1,3,0,0,0,1,0,0,0,0
84,3.45,11,0,0,0,0,0,0,0,0,0,0,0,0,845,3,2,0,0,1,4,439,151,71,30,0,8,0,1,10,5,7,1,1,1,4,18,6,3,4,1,1,0,0,0
85,4.78,9,0,0,0,0,0,0,0,0,0,0,0,0,124,3,0,0,0,1,4,73,18,13,5,0,3,0,0,2,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0
86,5,2,0,0,0,0,0,0,0,0,0,0,0,0,452,5,2,0,0,1,4,147,85,40,20,0,2,0,0,3,1,1,0,0,1,3,3,2,3,1,6,0,1,1,0
87,4.29,7,0,0,0,0,0,0,0,0,0,0,0,0,210,1,0,0,0,1,4,3772,41,20,7,0,1,0,0,3,0,9,0,0,1,3,3,1,0,0,1,0,0,0,0
88,5,3,0,0,0,0,0,0,0,0,0,0,0,0,223,5,1,0,0,1,3.5,29,40,23,7,0,3,0,0,2,1,2,1,0,0,0,1,0,0,2,2,0,0,0,0
89,2,1,0,0,0,0,0,0,0,0,0,0,0,1,144,2,0,0,0,0,4.5,414,26,13,7,0,1,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0
90,3,4,0,0,0,0,0,0,0,0,0,0,0,0,402,5,0,0,0,1,4,100,75,32,11,0,1,0,0,6,1,9,0,0,0,2,2,3,2,7,4,0,0,0,0
91,3.33,3,0,0,0,0,0,0,0,0,0,0,0,0,1300,1,4,62,2,1,3.5,211,276,122,47,0,4,0,0,36,9,36,0,0,3,22,19,5,5,15,5,0,0,4,0
92,5,1,0,0,0,0,0,0,0,0,0,0,0,0,412,5,0,0,0,0,3,30,75,36,18,0,5,0,1,2,0,5,0,0,0,2,5,1,2,4,4,0,0,0,0
93,5,4,0,0,0,0,0,0,0,0,0,1,0,0,179,5,0,0,0,1,4.5,87,33,20,10,0,0,0,0,2,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0
94,3.25,4,0,0,0,0,0,0,0,0,0,0,0,0,466,1,2,0,0,1,4,616,84,39,18,0,0,0,0,6,4,10,0,0,1,8,5,0,3,3,2,0,0,0,0
95,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1017,5,1,0,0,0,4.5,49,191,107,53,0,7,0,0,4,9,12,0,1,0,8,10,5,6,7,3,0,0,1,0
96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,500,2,0,0,0,1,2.5,10,94,47,18,0,0,0,0,11,1,9,0,0,1,2,13,3,2,3,0,0,0,1,0
97,5,1,0,0,0,0,0,0,0,0,0,0,0,0,283,5,0,0,0,0,4.5,102,52,31,14,0,1,0,1,2,3,3,0,0,0,4,2,0,2,3,1,0,1,0,0
98,5,2,0,0,0,0,0,0,0,0,0,0,0,0,181,5,0,0,0,1,4,159,32,21,8,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0
99,4.57,7,0,0,0,0,0,0,0,0,0,0,0,0,565,5,0,0,0,1,3.5,77,94,52,11,0,7,0,0,4,1,6,0,1,1,6,1,4,0,5,2,0,1,2,0
100,3.46,13,1,0,1,0,0,0,0,0,2,0,1,0,1347,5,1,0,0,1,2,45,249,124,57,0,8,0,0,10,2,19,0,0,0,12,12,7,6,11,8,2,1,3,0
101,3.5,2,0,0,0,0,0,0,0,0,0,0,0,0,116,5,0,0,0,1,2.5,22,21,12,5,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0
102,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,673,5,1,0,0,1,3.5,120,109,55,24,0,5,0,1,8,3,6,0,1,0,4,4,1,0,7,2,0,1,1,0
103,5,1,0,0,0,0,0,0,0,0,0,1,0,0,754,5,2,0,0,0,4,286,148,72,26,0,7,0,0,5,3,17,0,0,0,4,1,4,5,11,7,0,0,2,0
104,2.7,10,0,0,0,0,0,0,0,0,1,0,0,1,540,1,3,0,0,1,4,325,103,48,27,0,3,0,0,2,2,4,0,0,0,5,9,2,1,1,2,1,2,1,0
105,3,2,0,0,0,0,0,0,0,0,0,0,0,0,348,5,1,0,0,1,3.5,143,58,34,14,0,1,0,0,0,0,11,0,0,1,4,1,3,1,1,1,0,0,1,0
106,3.79,11,0,0,0,0,0,0,0,0,0,0,0,0,847,4,1,0,0,1,4.5,127,153,74,33,0,6,1,0,5,0,14,0,0,0,6,8,6,1,3,2,1,1,0,0
107,3.4,5,0,0,0,0,0,0,0,0,0,0,0,0,2507,5,3,0,0,1,5,22,484,225,70,0,28,1,0,41,14,25,0,0,1,34,41,15,5,11,6,2,3,4,0
108,2.07,9,0,0,0,0,0,0,0,0,0,0,0,2,367,1,0,0,0,1,3.5,6,62,36,12,0,3,0,0,5,1,5,0,0,2,4,2,1,0,2,3,0,0,0,0
109,3.45,19,0,0,0,0,0,0,0,0,0,1,0,13,312,4,0,0,0,1,4,1051,55,27,17,0,3,0,0,1,1,1,0,0,0,2,0,0,0,1,3,0,0,0,0
110,3.7,154,0,0,0,0,0,0,4,0,3,0,0,0,352,5,1,0,0,4,3.5,3838,63,32,10,0,2,0,3,3,1,6,0,0,1,3,0,4,0,3,4,0,0,1,0
111,4.33,3,0,0,0,0,0,0,0,0,0,1,0,0,439,5,0,0,0,1,4,289,77,38,14,0,7,0,0,2,1,3,0,0,0,4,1,1,1,1,5,0,0,0,0
112,4.25,4,0,0,0,0,0,0,0,0,0,1,0,0,539,5,0,0,0,1,5,21,99,51,22,0,4,0,1,2,5,6,0,0,0,3,10,2,2,0,1,0,0,0,0
113,3.24,47,0,0,0,0,0,0,1,0,3,0,4,0,1022,2,0,0,0,2,4,49,185,91,31,0,7,0,0,19,3,15,0,0,3,14,12,6,0,5,2,0,1,1,0
114,3.2,5,1,0,1,0,0,0,0,0,0,0,0,0,313,2,0,0,0,1,3.5,19,62,30,10,0,0,0,0,5,0,9,0,0,0,4,7,0,0,2,3,0,0,0,0
115,3,2,0,0,0,0,0,0,0,0,0,0,0,0,194,1,1,0,0,1,3.5,853,38,19,11,0,0,0,0,1,2,3,0,0,1,1,5,1,0,0,1,0,0,1,0
116,3,2,0,0,0,0,0,0,0,0,0,0,0,0,631,1,0,0,0,1,4.5,58,117,75,26,0,4,0,0,6,1,13,1,0,0,6,6,1,2,5,6,0,0,1,0
117,4.28,18,0,0,0,0,0,0,0,0,1,0,0,2,263,5,0,279,3,1,3.5,22,45,26,12,0,3,0,0,0,0,3,0,0,0,1,5,0,1,0,0,0,0,0,0
118,4.5,8,0,0,0,0,0,0,0,0,0,1,0,1,149,5,2,0,0,1,3,11,25,14,5,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0
119,5,1,0,0,0,0,0,0,0,0,0,0,0,0,537,5,1,0,0,0,2.5,12,93,49,21,1,3,1,0,6,1,9,1,0,0,2,4,1,2,2,1,1,0,3,0
120,3.2,5,0,0,0,0,0,0,0,0,0,0,0,0,433,3,0,0,0,1,3.5,222,80,38,13,0,4,0,1,7,1,6,0,0,1,2,8,1,2,1,0,0,0,0,0
121,5,3,0,0,0,0,0,0,0,0,0,0,0,0,318,5,1,0,0,1,4,2448,55,30,13,0,2,0,0,0,2,8,0,0,1,3,3,1,0,0,0,0,0,1,0
122,5,1,0,0,0,0,0,0,0,0,0,1,0,0,472,5,0,0,0,0,3.5,34,76,41,17,0,5,0,0,4,4,6,1,1,0,2,2,0,3,1,4,0,0,1,0
123,5,1,0,0,0,0,0,0,0,0,0,0,0,0,212,5,0,0,0,0,1.5,19,39,18,4,0,1,0,0,4,0,3,0,0,0,2,0,2,0,4,2,0,0,0,0
124,3.75,8,0,0,0,0,0,0,0,0,0,0,0,0,174,5,0,0,0,1,4,42,28,20,3,0,2,0,0,0,0,6,0,0,0,1,2,0,2,0,0,0,0,0,0
125,2.6,5,0,0,0,0,0,0,0,0,0,0,0,0,640,3,3,0,0,1,4.5,7,112,57,24,0,1,0,0,4,3,14,0,0,0,8,7,2,2,1,3,0,0,0,0
126,5,2,0,0,0,0,0,0,0,0,0,0,0,0,414,5,0,0,0,1,4.5,7,74,36,19,0,4,1,2,3,3,5,0,0,0,1,6,2,3,2,0,0,0,0,0
127,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,132,5,0,0,0,1,4.5,339,20,14,5,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
128,2.36,29,0,0,0,0,0,0,1,0,0,1,0,56,617,2,0,0,0,2,4,23,124,52,19,0,2,0,0,5,4,14,0,0,2,5,17,4,0,2,2,0,2,0,0
129,5,4,0,0,0,0,0,0,0,0,0,0,0,0,580,5,0,0,0,1,3.5,85,98,57,33,0,4,0,0,3,1,6,0,0,0,1,8,2,2,2,1,1,0,0,0
130,3.46,109,6,0,6,4,0,0,0,0,6,9,1,5,4950,5,10,11,1,4,1.5,210,926,407,150,0,32,2,4,77,11,93,2,0,8,52,35,13,13,43,38,9,4,8,0
131,5,1,0,0,0,0,0,0,0,0,0,0,0,0,291,5,0,0,0,0,3,129,54,26,11,0,1,0,1,2,3,4,0,0,1,5,1,0,1,1,2,0,0,0,0
132,4.39,23,0,0,0,0,0,0,0,0,0,0,0,1,224,4,0,0,0,2,3,12,41,21,7,0,1,0,0,3,0,6,0,0,0,4,1,0,0,2,0,0,0,0,0
133,4.55,11,0,0,0,0,0,0,0,0,0,0,0,0,1044,4,1,0,0,1,5,78,189,92,48,0,5,0,1,11,0,11,1,0,0,8,13,3,1,6,7,1,0,3,0
134,4,1,0,0,0,0,0,0,0,0,0,0,0,0,316,4,3,0,0,0,3,117,56,32,14,0,5,0,0,2,1,2,0,0,0,1,6,0,0,0,1,2,0,0,0
135,5,1,0,0,0,0,0,0,0,0,0,0,0,0,201,5,0,0,0,0,5,5,37,17,4,0,2,0,0,3,0,6,0,0,0,1,1,0,2,2,2,0,0,0,0
136,3,4,0,0,0,0,0,0,0,0,0,8,0,0,244,1,0,0,0,1,4,15,46,24,9,0,1,0,0,1,0,9,0,0,0,1,5,0,1,1,1,0,0,0,0
137,2.83,10,0,0,0,0,0,0,1,0,0,0,0,0,370,4,0,0,0,1,3,20,75,30,10,0,5,0,0,8,2,8,0,0,0,4,6,1,0,5,1,0,0,3,0
138,4.4,14,0,0,0,0,0,0,2,0,0,0,1,0,592,3,0,0,0,1,4.5,121,107,59,22,0,8,1,0,3,1,4,0,0,1,3,5,4,1,1,4,0,0,0,0
139,2.46,10,0,0,0,0,0,0,0,0,0,1,0,0,825,1,1,0,0,1,3,60,155,69,35,0,4,0,0,8,5,11,0,0,0,7,12,4,6,1,6,2,0,0,0
140,2,1,0,0,0,0,0,0,0,0,0,0,0,0,188,2,1,0,0,0,4.5,14,33,14,3,0,2,1,0,2,0,3,0,1,0,3,1,0,0,3,2,1,0,0,0
141,5,6,0,0,0,0,0,0,0,0,0,0,0,0,155,5,0,0,0,1,3,37,26,13,6,0,1,0,0,0,1,3,0,0,0,1,4,0,0,0,0,0,0,0,0
142,5,1,0,0,0,0,0,0,0,0,0,0,0,0,325,5,0,0,0,0,4,205,58,29,16,0,3,0,0,6,3,3,0,0,0,2,4,0,2,0,3,0,0,1,0
143,3.8,5,0,0,0,0,0,0,0,0,0,0,0,0,173,2,0,0,0,1,3.5,6,33,21,8,0,2,0,0,1,0,3,0,0,0,1,2,0,0,3,0,0,0,0,0
